id;telefono;identificacion;ciudad
1;Sector open-source;IB generate Berkshire;Granito Directo Intranet
2;San;Web markets withdrawal;Arquitecto Diseñador Increible
3;web-readiness Caserio one-to-one;Algodón Deportes Estratega;Rojo
4;matrix;Gourde;Increible
5;override Juguetería;de generate;Berkshire
6;cero;Gerente en;redundant
7;Ladrillo mesh;Gorro;Travesía Mesa Aragón
8;Galicia;compelling;Castilla-La Account
9;Money;vertical connect;front-end
10;Berkshire Colonia Integrado;microchip Huerta;recontextualize
